1,Currently being updated,,,,,,,
2,,,,,,,,
3,CASES,DEATHS,DEATHS,RECOVERED,RECOVERED,UNRESOLVED,UNRESOLVED,
4,136450,4960,4960,69841,69841,61649,61649,
5,,,,,,,,
6,OTHER PLACES,Cases,Deaths,Serious,Critical,Recovered,,
7,Mainland China,80813,3176,4020,,64111,Source,
8,Italy,15113,1016,1153,,1258,Source,
9,Iran,10075,429,,,2959,Source,
10,South Korea,7979,67,,36,510,Source,
11,Spain,3146,67,190,,189,Source,
12,France,2876,61,129,,12,Source,
13,Germany,2745,6,,2,25,Source,
14,United States,1336,36,2,6,9,Source,
15,Switzerland,854,7,,,4,Source,
16,Norway,800,1,,,,Source,
17,Diamond Princess,697,7,14,,245,Source,
18,Japan,690,19,29,,59,Source,
19,Sweden,687,1,,,,Source,
20,Denmark*,617,0,,,,Source,
21,Netherlands,614,5,1,,2,Source,
22,United Kingdom,590,10,20,,12,Source,
23,Belgium,399,3,,,1,Source,
24,Austria,302,1,,,4,Source,
25,Qatar,262,0,,,,Source,
26,Bahrain,195,0,,1,35,Source,
27,Singapore,178,0,,9,96,Source,
28,Malaysia,149,0,2,,26,Source,
29,Australia,156,3,,,26,Source,
30,Hong Kong,130,2,2,4,59,Source,
31,Canada,109,1,,1,11,Source,
32,Israel,100,0,1,,3,Source,
33,Greece,99,1,2,,,Source,
34,Czech Republic,94,0,0,0,0,Source,
35,Iceland,85,0,,,,Source,
36,Kuwait,80,0,4,,5,Source,
37,UAE,74,0,2,,20,Source,
38,India,73,0,,,4,Source,
39,Iraq,71,8,,,15,Source,
40,Thailand,70,1,1,,35,Source,
41,Egypt,67,1,,,27,Source,
42,San Marino,62,2,5,,,Source,
43,Lebanon,61,3,,3,,Source,
44,Finland,59,0,,,1,Source,
45,Portugal,59,0,,,,Source,
46,Slovenia,57,0,0,0,0,Source,
47,Brazil,52,0,,,,Source,
48,Philippines,52,2,1,,2,Source,
49,Taiwan,49,1,0,0,20,Source,
50,Romania,48,0,,,6,Source,
51,Poland,47,0,2,0,0,Source,
52,Saudi Arabia,45,0,,,1,Source,
53,Ireland,43,1,,,,Source,
54,Vietnam,39,0,,,16,Source,
55,Indonesia,34,1,,,,Source,
56,Russia,34,0,,,3,Source,
57,Palestine,30,0,,,,Source,
58,Algeria,24,1,,,,Source,
59,Georgia,24,0,1,,,Source,
60,Chile,23,0,,,,Source,
61,Costa Rica,22,0,1,,,Source,
62,Argentina,21,1,,,,Source,
63,Pakistan,19,0,,,2,Source,
64,Croatia,19,0,,,,Source,
65,Serbia,19,0,,,,Source,
66,Luxembourg,19,0,,,,Source,
67,Oman,18,0,0,0,9,Source,
68,Peru,17,0,,,,Source,
69,Ecuador,17,0,,1,,Source,
70,South Africa,17,0,,,,Source,
71,Latvia,16,0,,,,Source,
72,Albania,15,1,,,,Source,
73,Hungary,13,0,0,0,0,Source,
74,Belarus,12,0,,,3,Source,
75,Mexico,12,0,1,,4,Source,
76,Azerbaijan,11,0,,,3,Source,
77,Bosnia,11,0,,,,Source,
78,Macau,10,0,,,6,,
79,Estonia,10,0,0,0,0,Source,
80,Slovakia,10,0,,,,Source,
81,Colombia,9,0,,,,Source,
82,Panama,8,1,,,,Source,
83,Maldives,8,0,,,,Source,
84,Afghanistan,7,0,,,,Source,
85,North Macedonia,7,0,0,0,0,Source,
86,Bulgaria,7,1,,,,Source,
87,Malta,7,0,,,,Source,
88,Tunisia,7,0,,,,Source,
89,Cyprus,6,0,,,,Source,
90,Morocco,6,1,,,,Source,
91,New Zealand,5,0,,,,Source,
92,Dominican Republic,5,0,,,,Source,
93,Paraguay,5,0,1,,,Source,
94,Senegal,4,0,0,0,0,Source,
95,Bangladesh,3,0,,,,Source,
96,Lithuania,3,0,,,,Source,
97,Cambodia,3,0,,,1,Source,
98,Moldova,3,0,,,,Source,
99,Honduras,2,0,,,,Source,
100,Cameroon,2,0,,,,Source,
101,Nigeria,2,0,0,0,0,Source,
102,Sri Lanka,2,0,,,1,Source,
103,Jamaica,2,0,,,,Source,
104,Togo,1,0,,,,Source,
105,Nepal,1,0,,,1,,
106,Monaco,1,0,,,,,
107,Ukraine,1,0,,,,,
108,Jordan,1,0,,,,,
109,Andorra,1,0,,,,,
110,Armenia,1,0,,,,,
111,Liechtenstein,1,0,,,,Source,
112,Bhutan,1,0,,,,Source,
113,Gibraltar,1,0,1,,,Source,
114,Vatican City,1,0,,,,Source,
115,Turkey,1,0,,,,Source,
116,Queue,2850,15,,,,,
117,TOTAL,136450,4960,5585,63,69841,,
118,,,,,,,,
